county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng
Los Angeles,Los Angeles,Los Angeles County,6037,CA,California,34.3209,-118.2247
Cook,Cook,Cook County,17031,IL,Illinois,41.8401,-87.8168
Harris,Harris,Harris County,48201,TX,Texas,29.8578,-95.3936
Maricopa,Maricopa,Maricopa County,4013,AZ,Arizona,33.349,-112.4915
San Diego,San Diego,San Diego County,6073,CA,California,33.0343,-116.735
Orange,Orange,Orange County,6059,CA,California,33.7031,-117.7609
Miami-Dade,Miami-Dade,Miami-Dade County,12086,FL,Florida,25.6149,-80.5623
Dallas,Dallas,Dallas County,48113,TX,Texas,32.7666,-96.7778
Kings,Kings,Kings County,36047,NY,New York,40.6395,-73.9385
Riverside,Riverside,Riverside County,6065,CA,California,33.7437,-115.9938
Queens,Queens,Queens County,36081,NY,New York,40.7023,-73.8203
Clark,Clark,Clark County,32003,NV,Nevada,36.2152,-115.0135
King,King,King County,53033,WA,Washington,47.4902,-121.8052
San Bernardino,San Bernardino,San Bernardino County,6071,CA,California,34.8414,-116.1785
Tarrant,Tarrant,Tarrant County,48439,TX,Texas,32.7719,-97.2911
Bexar,Bexar,Bexar County,48029,TX,Texas,29.4489,-98.52
Broward,Broward,Broward County,12011,FL,Florida,26.1523,-80.4871
Santa Clara,Santa Clara,Santa Clara County,6085,CA,California,37.2318,-121.6951
Wayne,Wayne,Wayne County,26163,MI,Michigan,42.2819,-83.2822
Alameda,Alameda,Alameda County,6001,CA,California,37.6469,-121.8888
New York,New York,New York County,36061,NY,New York,40.7784,-73.9674
Middlesex,Middlesex,Middlesex County,25017,MA,Massachusetts,42.4856,-71.3918
Philadelphia,Philadelphia,Philadelphia County,42101,PA,Pennsylvania,40.0077,-75.1339
Sacramento,Sacramento,Sacramento County,6067,CA,California,38.4493,-121.3443
Palm Beach,Palm Beach,Palm Beach County,12099,FL,Florida,26.6476,-80.4655
Suffolk,Suffolk,Suffolk County,36103,NY,New York,40.8686,-72.8448
Hillsborough,Hillsborough,Hillsborough County,12057,FL,Florida,27.9292,-82.3092
Bronx,Bronx,Bronx County,36005,NY,New York,40.85,-73.8661
Orange,Orange,Orange County,12095,FL,Florida,28.5144,-81.3235
Nassau,Nassau,Nassau County,36059,NY,New York,40.7328,-73.5865
Franklin,Franklin,Franklin County,39049,OH,Ohio,39.9695,-83.0093
Oakland,Oakland,Oakland County,26125,MI,Michigan,42.6604,-83.3858
Hennepin,Hennepin,Hennepin County,27053,MN,Minnesota,45.0045,-93.477
Travis,Travis,Travis County,48453,TX,Texas,30.3344,-97.782
Cuyahoga,Cuyahoga,Cuyahoga County,39035,OH,Ohio,41.4243,-81.6586
Allegheny,Allegheny,Allegheny County,42003,PA,Pennsylvania,40.4688,-79.9812
Fairfax,Fairfax,Fairfax County,51059,VA,Virginia,38.8368,-77.277
Contra Costa,Contra Costa,Contra Costa County,6013,CA,California,37.9191,-121.9277
Salt Lake,Salt Lake,Salt Lake County,49035,UT,Utah,40.6673,-111.9236
Mecklenburg,Mecklenburg,Mecklenburg County,37119,NC,North Carolina,35.2467,-80.8328
Wake,Wake,Wake County,37183,NC,North Carolina,35.7903,-78.6503
Fulton,Fulton,Fulton County,13121,GA,Georgia,33.7903,-84.467
Montgomery,Montgomery,Montgomery County,24031,MD,Maryland,39.1363,-77.2042
Pima,Pima,Pima County,4019,AZ,Arizona,32.0974,-111.7899
Collin,Collin,Collin County,48085,TX,Texas,33.188,-96.5724
St. Louis,St. Louis,St. Louis County,29189,MO,Missouri,38.6407,-90.4434
Fresno,Fresno,Fresno County,6019,CA,California,36.7582,-119.6493
Honolulu,Honolulu,Honolulu County,15003,HI,Hawaii,21.5008,-158.1053
Pinellas,Pinellas,Pinellas County,12103,FL,Florida,27.9199,-82.7256
Westchester,Westchester,Westchester County,36119,NY,New York,41.1624,-73.7561
Marion,Marion,Marion County,18097,IN,Indiana,39.7817,-86.1385
Milwaukee,Milwaukee,Milwaukee County,55079,WI,Wisconsin,43.0072,-87.9669
Duval,Duval,Duval County,12031,FL,Florida,30.3316,-81.6708
Fairfield,Fairfield,Fairfield County,9001,CT,Connecticut,41.2711,-73.3893
Shelby,Shelby,Shelby County,47157,TN,Tennessee,35.1842,-89.894
Bergen,Bergen,Bergen County,34003,NJ,New Jersey,40.9597,-74.0742
Gwinnett,Gwinnett,Gwinnett County,13135,GA,Georgia,33.9617,-84.0236
DuPage,DuPage,DuPage County,17043,IL,Illinois,41.852,-88.0856
Erie,Erie,Erie County,36029,NY,New York,42.7639,-78.7323
Prince George's,Prince George's,Prince George's County,24033,MD,Maryland,38.8295,-76.8473
Kern,Kern,Kern County,6029,CA,California,35.3426,-118.7301
Hartford,Hartford,Hartford County,9003,CT,Connecticut,41.8064,-72.7329
Pierce,Pierce,Pierce County,53053,WA,Washington,47.0241,-122.1046
San Francisco,San Francisco,San Francisco County,6075,CA,California,37.7558,-122.4449
Macomb,Macomb,Macomb County,26099,MI,Michigan,42.6957,-82.9323
Denton,Denton,Denton County,48121,TX,Texas,33.2055,-97.1168
Hidalgo,Hidalgo,Hidalgo County,48215,TX,Texas,26.3967,-98.1811
New Haven,New Haven,New Haven County,9009,CT,Connecticut,41.4106,-72.9321
Ventura,Ventura,Ventura County,6111,CA,California,34.4561,-119.0836
El Paso,El Paso,El Paso County,48141,TX,Texas,31.7686,-106.2348
Baltimore,Baltimore,Baltimore County,24005,MD,Maryland,39.4627,-76.6393
Montgomery,Montgomery,Montgomery County,42091,PA,Pennsylvania,40.2108,-75.3673
Worcester,Worcester,Worcester County,25027,MA,Massachusetts,42.3514,-71.9077
Middlesex,Middlesex,Middlesex County,34023,NJ,New Jersey,40.4392,-74.4117
Hamilton,Hamilton,Hamilton County,39061,OH,Ohio,39.1955,-84.5428
Snohomish,Snohomish,Snohomish County,53061,WA,Washington,48.0475,-121.6975
Multnomah,Multnomah,Multnomah County,41051,OR,Oregon,45.5468,-122.4148
Suffolk,Suffolk,Suffolk County,25025,MA,Massachusetts,42.3334,-71.0719
Essex,Essex,Essex County,34013,NJ,New Jersey,40.7872,-74.2471
Oklahoma,Oklahoma,Oklahoma County,40109,OK,Oklahoma,35.5515,-97.4072
Fort Bend,Fort Bend,Fort Bend County,48157,TX,Texas,29.5275,-95.7709
Essex,Essex,Essex County,25009,MA,Massachusetts,42.6732,-70.952
Jefferson,Jefferson,Jefferson County,21111,KY,Kentucky,38.1872,-85.6591
San Mateo,San Mateo,San Mateo County,6081,CA,California,37.4229,-122.329
Cobb,Cobb,Cobb County,13067,GA,Georgia,33.9415,-84.5767
Lee,Lee,Lee County,12071,FL,Florida,26.5779,-81.8337
DeKalb,DeKalb,DeKalb County,13089,GA,Georgia,33.7715,-84.2264
San Joaquin,San Joaquin,San Joaquin County,6077,CA,California,37.9348,-121.2714
Monroe,Monroe,Monroe County,36055,NY,New York,43.1464,-77.6961
Denver,Denver,Denver County,8031,CO,Colorado,39.762,-104.8758
El Paso,El Paso,El Paso County,8041,CO,Colorado,38.8321,-104.5255
Polk,Polk,Polk County,12105,FL,Florida,27.9489,-81.6977
Norfolk,Norfolk,Norfolk County,25021,MA,Massachusetts,42.1605,-71.2114
District of Columbia,District of Columbia,District of Columbia,11001,DC,District of Columbia,38.9047,-77.0163
Jackson,Jackson,Jackson County,29095,MO,Missouri,39.0085,-94.3461
Lake,Lake,Lake County,17097,IL,Illinois,42.3233,-88.0037
Davidson,Davidson,Davidson County,47037,TN,Tennessee,36.1695,-86.7847
Will,Will,Will County,17197,IL,Illinois,41.445,-87.9786
Bernalillo,Bernalillo,Bernalillo County,35001,NM,New Mexico,35.0514,-106.6702
Hudson,Hudson,Hudson County,34017,NJ,New Jersey,40.7371,-74.0779
Jefferson,Jefferson,Jefferson County,1073,AL,Alabama,33.5543,-86.8964
Kent,Kent,Kent County,26081,MI,Michigan,43.0322,-85.5493
Tulsa,Tulsa,Tulsa County,40143,OK,Oklahoma,36.1211,-95.9415
Arapahoe,Arapahoe,Arapahoe County,8005,CO,Colorado,39.6498,-104.3392
Providence,Providence,Providence County,44007,RI,Rhode Island,41.8721,-71.58
Bucks,Bucks,Bucks County,42017,PA,Pennsylvania,40.337,-75.1069
Utah,Utah,Utah County,49049,UT,Utah,40.1199,-111.6703
Monmouth,Monmouth,Monmouth County,34025,NJ,New Jersey,40.2603,-74.2213
Baltimore,Baltimore,Baltimore City,24510,MD,Maryland,39.3051,-76.6144
Ocean,Ocean,Ocean County,34029,NJ,New Jersey,39.8855,-74.2813
Johnson,Johnson,Johnson County,20091,KS,Kansas,38.8838,-94.8223
Washington,Washington,Washington County,41067,OR,Oregon,45.5601,-123.0983
Brevard,Brevard,Brevard County,12009,FL,Florida,28.2936,-80.7323
Montgomery,Montgomery,Montgomery County,48339,TX,Texas,30.3002,-95.503
Jefferson,Jefferson,Jefferson County,8059,CO,Colorado,39.5864,-105.2505
Anne Arundel,Anne Arundel,Anne Arundel County,24003,MD,Maryland,39.0065,-76.6051
Williamson,Williamson,Williamson County,48491,TX,Texas,30.6475,-97.6004
Douglas,Douglas,Douglas County,31055,NE,Nebraska,41.2954,-96.1543
Delaware,Delaware,Delaware County,42045,PA,Pennsylvania,39.9167,-75.3991
Bristol,Bristol,Bristol County,25005,MA,Massachusetts,41.7972,-71.1144
New Castle,New Castle,New Castle County,10003,DE,Delaware,39.5768,-75.6527
Union,Union,Union County,34039,NJ,New Jersey,40.6601,-74.3087
Ramsey,Ramsey,Ramsey County,27123,MN,Minnesota,45.0171,-93.0996
Stanislaus,Stanislaus,Stanislaus County,6099,CA,California,37.5591,-120.9977
Volusia,Volusia,Volusia County,12127,FL,Florida,29.0583,-81.1819
Lancaster,Lancaster,Lancaster County,42071,PA,Pennsylvania,40.0424,-76.2477
Dane,Dane,Dane County,55025,WI,Wisconsin,43.0673,-89.4181
Summit,Summit,Summit County,39153,OH,Ohio,41.126,-81.5322
Pasco,Pasco,Pasco County,12101,FL,Florida,28.3091,-82.3932
Guilford,Guilford,Guilford County,37081,NC,North Carolina,36.0795,-79.7889
Montgomery,Montgomery,Montgomery County,39113,OH,Ohio,39.7547,-84.2907
Kane,Kane,Kane County,17089,IL,Illinois,41.9388,-88.4286
Chester,Chester,Chester County,42029,PA,Pennsylvania,39.9731,-75.7484
Plymouth,Plymouth,Plymouth County,25023,MA,Massachusetts,41.9512,-70.8114
Greenville,Greenville,Greenville County,45045,SC,South Carolina,34.8941,-82.3706
Sedgwick,Sedgwick,Sedgwick County,20173,KS,Kansas,37.6848,-97.461
Spokane,Spokane,Spokane County,53063,WA,Washington,47.6207,-117.404
Adams,Adams,Adams County,8001,CO,Colorado,39.8737,-104.3379
Camden,Camden,Camden County,34007,NJ,New Jersey,39.8035,-74.9597
Passaic,Passaic,Passaic County,34031,NJ,New Jersey,41.0343,-74.3008
Sonoma,Sonoma,Sonoma County,6097,CA,California,38.5289,-122.8881
Morris,Morris,Morris County,34027,NJ,New Jersey,40.862,-74.5445
Lake,Lake,Lake County,18089,IN,Indiana,41.4167,-87.3821
Polk,Polk,Polk County,19153,IA,Iowa,41.6855,-93.5735
Clark,Clark,Clark County,53011,WA,Washington,45.7791,-122.4826
Richmond,Richmond,Richmond County,36085,NY,New York,40.5808,-74.1524
Ada,Ada,Ada County,16001,ID,Idaho,43.4511,-116.2412
Prince William,Prince William,Prince William County,51153,VA,Virginia,38.7029,-77.4809
Seminole,Seminole,Seminole County,12117,FL,Florida,28.717,-81.2363
Hampden,Hampden,Hampden County,25013,MA,Massachusetts,42.1351,-72.6316
Knox,Knox,Knox County,47093,TN,Tennessee,35.9932,-83.9371
Washoe,Washoe,Washoe County,32031,NV,Nevada,40.6656,-119.6643
Tulare,Tulare,Tulare County,6107,CA,California,36.2202,-118.8005
Onondaga,Onondaga,Onondaga County,36067,NY,New York,43.0058,-76.1946
Virginia Beach,Virginia Beach,Virginia Beach City,51810,VA,Virginia,36.7335,-76.0435
York,York,York County,42133,PA,Pennsylvania,39.92,-76.7265
Pinal,Pinal,Pinal County,4021,AZ,Arizona,32.9044,-111.3448
Burlington,Burlington,Burlington County,34005,NJ,New Jersey,39.8777,-74.6681
Santa Barbara,Santa Barbara,Santa Barbara County,6083,CA,California,34.6729,-120.0169
Solano,Solano,Solano County,6095,CA,California,38.27,-121.9329
East Baton Rouge,East Baton Rouge,East Baton Rouge Parish,22033,LA,Louisiana,30.5383,-91.0956
Jefferson,Jefferson,Jefferson Parish,22051,LA,Louisiana,29.7872,-90.1274
Monterey,Monterey,Monterey County,6053,CA,California,36.2171,-121.2388
Lucas,Lucas,Lucas County,39095,OH,Ohio,41.6197,-83.659
Sarasota,Sarasota,Sarasota County,12115,FL,Florida,27.1845,-82.3315
Dakota,Dakota,Dakota County,27037,MN,Minnesota,44.6719,-93.0654
Cameron,Cameron,Cameron County,48061,TX,Texas,26.1333,-97.5182
Berks,Berks,Berks County,42011,PA,Pennsylvania,40.4163,-75.926
Hillsborough,Hillsborough,Hillsborough County,33011,NH,New Hampshire,42.9153,-71.7161
Clackamas,Clackamas,Clackamas County,41005,OR,Oregon,45.188,-122.2209
Richland,Richland,Richland County,45079,SC,South Carolina,34.0218,-80.9031
Mobile,Mobile,Mobile County,1097,AL,Alabama,30.7872,-88.2058
Charleston,Charleston,Charleston County,45019,SC,South Carolina,32.8346,-79.9531
Genesee,Genesee,Genesee County,26049,MI,Michigan,43.0217,-83.7067
Loudoun,Loudoun,Loudoun County,51107,VA,Virginia,39.0907,-77.6357
Waukesha,Waukesha,Waukesha County,55133,WI,Wisconsin,43.0182,-88.3045
St. Charles,St. Charles,St. Charles County,29183,MO,Missouri,38.782,-90.6749
Manatee,Manatee,Manatee County,12081,FL,Florida,27.4719,-82.3153
Pulaski,Pulaski,Pulaski County,5119,AR,Arkansas,34.77,-92.312
Placer,Placer,Placer County,6061,CA,California,39.0634,-120.7177
Orleans,Orleans,Orleans Parish,22071,LA,Louisiana,30.0687,-89.9288
Butler,Butler,Butler County,39017,OH,Ohio,39.4386,-84.5756
Orange,Orange,Orange County,36071,NY,New York,41.4021,-74.3056
Collier,Collier,Collier County,12021,FL,Florida,26.1107,-81.3475
Forsyth,Forsyth,Forsyth County,37067,NC,North Carolina,36.1306,-80.2563
Lane,Lane,Lane County,41039,OR,Oregon,43.9387,-122.8479
Allen,Allen,Allen County,18003,IN,Indiana,41.0909,-85.0666
Stark,Stark,Stark County,39151,OH,Ohio,40.8139,-81.3656
Washtenaw,Washtenaw,Washtenaw County,26161,MI,Michigan,42.2532,-83.8388
Mercer,Mercer,Mercer County,34021,NJ,New Jersey,40.2834,-74.7018
Brazoria,Brazoria,Brazoria County,48039,TX,Texas,29.1897,-95.4521
Madison,Madison,Madison County,1089,AL,Alabama,34.7631,-86.5502
Lehigh,Lehigh,Lehigh County,42077,PA,Pennsylvania,40.6127,-75.5924
Hamilton,Hamilton,Hamilton County,47065,TN,Tennessee,35.1808,-85.1648
Osceola,Osceola,Osceola County,12097,FL,Florida,28.0626,-81.1495
