state,county,year,MedianAge,PerCapitaIncome,Population,PovertyCount
Kansas,Sedgwick County,2018,35.2,28673,512064,70537
Kansas,Republic County,2018,51.1,28901,4686,490
Kansas,Graham County,2018,51.9,26685,2545,235
Kansas,Douglas County,2018,29.5,30315,119319,20749
Kansas,Sheridan County,2018,44.3,31526,2506,126
Kansas,Gray County,2018,36.2,28878,6037,355
Pennsylvania,Cameron County,2018,52.2,25898,4686,665
Pennsylvania,Bucks County,2018,43.8,44103,626370,37423
Pennsylvania,Lehigh County,2018,39.2,32252,362613,44179
Pennsylvania,Clarion County,2018,41.2,24293,38827,6093
Pennsylvania,Greene County,2018,42,26902,37144,4778
Pennsylvania,Luzerne County,2018,43,27919,317884,45514
Pennsylvania,Columbia County,2018,40.8,25794,66220,8800
Pennsylvania,Jefferson County,2018,43.9,24974,44084,6011
Pennsylvania,Perry County,2018,43,29685,45924,3848
Pennsylvania,Sullivan County,2018,53.1,28665,6177,801
Rhode Island,Kent County,2018,43.8,38039,163861,12922
Rhode Island,Washington County,2018,44.5,41000,126242,11249
South Carolina,Newberry County,2018,41.5,23344,38068,6917
South Carolina,Clarendon County,2018,44.3,20967,34017,7609
South Carolina,Sumter County,2018,36.3,22272,106995,21177
South Carolina,Barnwell County,2018,40.9,19620,21577,5529
South Carolina,Darlington County,2018,41.4,21587,67253,14659
South Carolina,York County,2018,38.5,32227,258641,29188
South Carolina,Cherokee County,2018,38.7,21432,56711,11431
South Carolina,Jasper County,2018,39.5,22406,27900,5533
South Carolina,Lee County,2018,41.9,17544,17606,4017
South Carolina,Abbeville County,2018,43.8,21185,24657,5395
South Dakota,Lyman County,2018,36,22097,3869,840
South Dakota,Deuel County,2018,44.4,29281,4306,413
South Dakota,Brule County,2018,41,28292,5256,901
South Dakota,Gregory County,2018,45.5,27579,4201,577
South Dakota,Minnehaha County,2018,34.7,30471,186749,19518
South Dakota,Clark County,2018,41.3,30339,3673,470
South Dakota,Kingsbury County,2018,45.6,32259,4967,462
South Dakota,Clay County,2018,25,26230,13925,2974
South Dakota,Dewey County,2018,27.8,16967,5779,1732
South Dakota,Hughes County,2018,38,33810,17617,1832
South Dakota,Sanborn County,2018,43.1,32404,2388,241
South Dakota,Hand County,2018,47.3,33865,3301,290
South Dakota,Yankton County,2018,41.8,31986,22717,2682
South Dakota,Beadle County,2018,37.3,26316,18374,3263
South Dakota,Davison County,2018,38.8,29342,19901,2427
South Dakota,Jerauld County,2018,50.6,38650,2029,165
South Dakota,Stanley County,2018,41.2,35936,2997,141
South Dakota,Potter County,2018,51.3,31467,2326,159
South Dakota,Charles Mix County,2018,35.9,21787,9344,1827
South Dakota,Marshall County,2018,39.7,31307,4895,397
South Dakota,Perkins County,2018,47,33065,2907,338
Michigan,Benzie County,2018,49.6,27866,17552,1643
Michigan,Schoolcraft County,2018,51.6,22931,8069,1624
Michigan,Wayne County,2018,37.9,25976,1761382,401149
Michigan,Grand Traverse County,2018,42.9,33754,91746,9033
Michigan,Mackinac County,2018,52,28941,10817,1704
Michigan,Genesee County,2018,40.3,26386,409361,80183
Nebraska,Otoe County,2018,41.5,29229,15896,1740
Nebraska,Red Willow County,2018,41.1,25456,10806,1011
Nebraska,Cedar County,2018,43.6,29494,8523,759
Nebraska,Dawes County,2018,34.9,26021,8896,1124
Nebraska,Johnson County,2018,40.6,23652,5197,386
Nebraska,Cheyenne County,2018,41,32321,9852,974
Nebraska,Dawson County,2018,35.9,25590,23804,3078
Nebraska,Garfield County,2018,51.4,27109,1975,145
Nebraska,McPherson County,2018,50.9,26384,454,77
Nebraska,Nance County,2018,44.3,29711,3554,390
Nebraska,Stanton County,2018,41.2,31686,5992,525
Nebraska,Valley County,2018,45.5,28587,4224,438
Nevada,Churchill County,2018,39.5,26606,24010,3006
Nevada,Douglas County,2018,51.5,36390,47828,4434
Nevada,Pershing County,2018,43.4,19330,6611,711
Nevada,Eureka County,2018,47.3,34590,1830,141
Nevada,Humboldt County,2018,35.6,30516,16904,1924
Nevada,White Pine County,2018,39.2,26412,9737,898
Nevada,Elko County,2018,33.9,33091,52252,6124
Nevada,Nye County,2018,52.7,25092,43705,6967
Nevada,Storey County,2018,52.9,35887,3941,312
Nevada,Clark County,2018,37.1,29256,2141574,299169
Nevada,Lyon County,2018,44.1,26855,53155,6159
New Hampshire,Cheshire County,2018,42.7,34136,76263,7105
New Hampshire,Grafton County,2018,42.9,36619,89811,8250
New Hampshire,Rockingham County,2018,44.3,45242,305129,14207
New Hampshire,Sullivan County,2018,46.1,31668,43125,4569
New Hampshire,Hillsborough County,2018,40.5,39478,411087,32560
New Hampshire,Coos County,2018,48.1,26535,32038,3774
New Hampshire,Carroll County,2018,51.7,36033,47840,4532
New Jersey,Mercer County,2018,38.7,42155,368762,40026
New Jersey,Cumberland County,2018,37.2,23946,153400,24830
New Jersey,Somerset County,2018,41.6,54393,330176,15319
New Jersey,Ocean County,2018,42.9,34784,591939,62837
New Jersey,Atlantic County,2018,41.5,31366,268539,37471
New Jersey,Middlesex County,2018,38.4,38140,826698,67432
New Jersey,Salem County,2018,42,32526,63336,8067
New Jersey,Cape May County,2018,49.3,38496,93705,10140
New Jersey,Camden County,2018,38.7,34280,507367,62871
New Jersey,Union County,2018,38.5,40201,553066,53602
New Jersey,Hudson County,2018,35.1,38147,668631,107718
New Jersey,Hunterdon County,2018,46.2,54984,125051,5828
New Jersey,Morris County,2018,42.6,55826,494383,22607
New Mexico,Hidalgo County,2018,43.3,20275,4371,1199
New Mexico,McKinley County,2018,32,15278,72849,25986
New Mexico,Sandoval County,2018,39.9,27549,140769,19895
New Mexico,Grant County,2018,45.8,24913,28061,5970
New Mexico,Curry County,2018,31.1,23729,50199,10119
New Mexico,Eddy County,2018,35.3,28957,57437,8663
New Mexico,Mora County,2018,49.2,17689,4563,881
New Mexico,San Juan County,2018,35,23206,127455,26707
Mississippi,Benton County,2018,40.4,20363,8253,1910
Mississippi,Franklin County,2018,42.1,22769,7757,1264
Mississippi,Coahoma County,2018,34.2,17518,23802,7896
Mississippi,Jasper County,2018,40.6,21929,16529,3810
Mississippi,Jones County,2018,37.2,22836,68454,14321
Mississippi,Walthall County,2018,39.9,20337,14601,3984
Mississippi,Monroe County,2018,41.2,23158,35840,6368
Alaska,Petersburg Borough,2018,41,33227,3255,267
Alaska,Kusilvak Census Area,2018,23.8,12578,8198,3296
Arizona,Maricopa County,2018,36.1,31697,4253913,618496
Arizona,Graham County,2018,33.3,18113,37879,7122
Arizona,Santa Cruz County,2018,36.6,20324,46584,11080
Arizona,La Paz County,2018,56,21845,20701,4507
Arizona,Mohave County,2018,50.9,24829,206064,35296
Arizona,Coconino County,2018,30.6,26387,140217,24168
Arizona,Yavapai County,2018,52.9,28829,224645,30813
Arizona,Greenlee County,2018,34.2,25349,9504,1115
Arizona,Pinal County,2018,38.9,23653,419721,55859
Arkansas,Nevada County,2018,44.8,18618,8440,2279
Arkansas,Cross County,2018,41.2,24486,16998,2793
Arkansas,Dallas County,2018,43.7,19401,7432,948
Arkansas,Columbia County,2018,36,21372,23892,5563
Arkansas,Saline County,2018,39.2,29358,118009,9928
Arkansas,Van Buren County,2018,47.9,21622,16684,3103
Arkansas,Izard County,2018,48,20501,13559,2156
Arkansas,Independence County,2018,39.4,23426,37264,6254
Arkansas,Logan County,2018,41.5,22221,21757,4514
Arkansas,Grant County,2018,40.4,25907,18086,2589
Arkansas,Franklin County,2018,41.3,20262,17780,3823
Arkansas,Pike County,2018,42.8,21919,10808,1758
Arkansas,Jefferson County,2018,38.8,20925,70424,14896
Arkansas,Montgomery County,2018,50,22347,8993,1666
Arkansas,Scott County,2018,41,17375,10442,2282
Arkansas,Sebastian County,2018,37.5,25084,127461,25420
Arkansas,Crawford County,2018,38.7,23851,62472,9830
Arkansas,Chicot County,2018,42.7,21843,10826,2962
Arkansas,Johnson County,2018,38,19681,26291,5728
Arkansas,Lee County,2018,41.8,15771,9398,2009
Missouri,Camden County,2018,51.1,27385,45096,7107
Missouri,Jefferson County,2018,39,28844,223302,22663
Missouri,New Madrid County,2018,41.7,20638,17811,4005
Missouri,Ralls County,2018,45,26536,10217,1258
Montana,Custer County,2018,40.7,30123,11845,1113
Montana,Powder River County,2018,53,30969,1619,164
Montana,Roosevelt County,2018,30.3,18813,11228,3087
Montana,Liberty County,2018,49.1,45587,2280,322
Montana,Richland County,2018,38.9,31849,11360,609
Montana,Toole County,2018,41.2,26434,4976,645
Montana,Daniels County,2018,50.7,34799,1753,72
Montana,Judith Basin County,2018,52.2,29827,1951,268
Montana,Deer Lodge County,2018,48.5,25742,9100,1634
Montana,McCone County,2018,50.1,27365,1630,124
Montana,Rosebud County,2018,36.4,23471,9250,1707
Montana,Dawson County,2018,40.5,32501,9191,830
Montana,Broadwater County,2018,46.9,32362,5834,400
Montana,Phillips County,2018,47.2,23533,4124,603
Nebraska,Blaine County,2018,46.6,26767,480,60
Nebraska,Deuel County,2018,47,27397,1894,188
Nebraska,Logan County,2018,38.9,24813,886,69
Nebraska,Thayer County,2018,47,28793,5098,416
Nebraska,Adams County,2018,37.4,28783,31583,3900
Nebraska,Boone County,2018,44.6,30680,5313,316
Nebraska,Rock County,2018,50.9,34441,1350,96
Nebraska,Sherman County,2018,49.9,27380,3042,339
Nebraska,Howard County,2018,43.1,26651,6405,672
Nebraska,Gosper County,2018,50.4,34731,2015,101
Tennessee,Shelby County,2018,35.4,28828,937005,189641
Tennessee,Henderson County,2018,41.4,21793,27859,5331
Tennessee,Jefferson County,2018,43.4,24855,53247,7169
Tennessee,Sequatchie County,2018,43.3,22383,14730,2410
Tennessee,Carroll County,2018,42.9,22007,28018,5358
Tennessee,Davidson County,2018,34.3,34343,684017,108515
Tennessee,Perry County,2018,43,28270,7912,2347
Tennessee,Meigs County,2018,44.7,23555,11962,1980
Tennessee,Haywood County,2018,40.4,22148,17779,3445
Tennessee,Montgomery County,2018,30.6,25938,196387,26016
Tennessee,Grundy County,2018,43.2,18782,13331,3184
Tennessee,Cocke County,2018,44.9,21332,35336,8700
Tennessee,DeKalb County,2018,41.2,25643,19601,3364
Tennessee,Lewis County,2018,43.9,21510,11956,2385
Tennessee,Obion County,2018,43,23141,30520,6814
Tennessee,Tipton County,2018,37.5,27212,61446,8432
Tennessee,Dyer County,2018,40.1,25427,37576,6806
Tennessee,Hamilton County,2018,39.6,31184,357546,47360
Tennessee,Polk County,2018,45.3,24667,16782,2709
Tennessee,White County,2018,43.1,20973,26580,4542
Tennessee,Sullivan County,2018,44.9,26933,156734,25670
New York,Schoharie County,2018,45.1,28712,31364,3945
New York,Fulton County,2018,43.8,26875,53743,8119
New York,Rensselaer County,2018,39.9,34280,159431,18459
New York,Franklin County,2018,40.6,25491,50692,8195
New York,Queens County,2018,38.7,30289,2298513,295165
New York,Washington County,2018,44,27156,61828,7055
New York,New York County,2018,37.3,72832,1632480,263413
New York,Cayuga County,2018,42.7,29022,77868,8563
New York,Rockland County,2018,36.1,38076,323686,45613
New York,Niagara County,2018,43.2,29824,211704,27967
New York,Essex County,2018,47,30273,37751,3323
New York,Nassau County,2018,41.6,49211,1356564,76461
New York,Schuyler County,2018,46.2,26484,17992,2444
New York,Chenango County,2018,44.7,26717,48348,6796
New York,Jefferson County,2018,32.4,25884,114448,15365
New York,Suffolk County,2018,41.3,42204,1487901,103887
New York,Wyoming County,2018,41.9,27150,40565,4092
New York,Oswego County,2018,40,27217,119104,20392
New York,Wayne County,2018,43.6,29028,90856,10127
New York,Broome County,2018,39.8,27744,194402,31349
New York,Erie County,2018,40.4,32347,919866,129903
New York,Sullivan County,2018,42.9,29292,75211,10646
Arkansas,Lafayette County,2018,46.3,26005,6915,1502
Arkansas,Phillips County,2018,38.5,18402,19034,6252
Arkansas,Yell County,2018,39.3,21584,21573,3475
Arkansas,Bradley County,2018,40.2,22411,10948,2513
Arkansas,Polk County,2018,43.7,20176,20163,4907
Arkansas,Ouachita County,2018,42.3,21520,24106,5722
Arkansas,Little River County,2018,42.6,26216,12417,1913
Arkansas,Miller County,2018,38.9,22938,43759,8985
Arkansas,White County,2018,36.6,23747,78804,12701
California,Lake County,2018,45.6,25404,64148,13224
Missouri,Mercer County,2018,43,22097,3664,392
Missouri,Wright County,2018,42,19909,18293,4460
Missouri,Clay County,2018,37.1,33342,239164,18585
Missouri,Dent County,2018,44.4,22581,15504,3204
Missouri,Saline County,2018,38,22802,23102,3553
Missouri,Worth County,2018,47.9,24159,2040,302
Missouri,Grundy County,2018,40.8,23249,10039,1591
Missouri,Morgan County,2018,46.1,21265,20137,4541
Missouri,Reynolds County,2018,46.1,22693,6315,1114
Missouri,St. Louis County,2018,40.3,39784,998684,94394
Missouri,Stone County,2018,53.3,27792,31527,3930
Missouri,Barry County,2018,43.5,21960,35493,7346
Missouri,Boone County,2018,30.8,29365,176515,30607
Missouri,Cole County,2018,38.5,29433,76740,7754
Missouri,Crawford County,2018,41.7,21107,24280,4667
Missouri,Iron County,2018,45.4,20696,10221,2064
Missouri,Livingston County,2018,40.3,23083,15076,2267
Missouri,Moniteau County,2018,37.9,22445,15958,1929
Missouri,Pemiscot County,2018,37.8,19876,17031,4672
Missouri,Pettis County,2018,37.9,22897,42371,7114
Missouri,Shannon County,2018,45.1,18066,8246,2312
Missouri,Randolph County,2018,39.1,20836,24945,3507
Missouri,Dunklin County,2018,39.9,19818,30428,8001
Missouri,Franklin County,2018,40.8,28773,102781,10999
Missouri,Howard County,2018,39.3,23328,10113,1413
Missouri,Jackson County,2018,36.7,30237,692003,103216
Missouri,Miller County,2018,40.8,23408,25049,4400
Missouri,Putnam County,2018,46.4,22607,4815,859
Missouri,Taney County,2018,42.1,22106,54720,9144
Missouri,Buchanan County,2018,37.4,25419,89076,14655
Missouri,Caldwell County,2018,42.6,24238,9049,1298
Missouri,Cass County,2018,39.8,31675,102678,9959
Missouri,Clinton County,2018,40.7,28216,20475,2153
Missouri,Dallas County,2018,43.5,22096,16499,2445
Missouri,Hickory County,2018,55,20646,9368,1612
Missouri,Lincoln County,2018,37,25472,55563,6915
Missouri,Monroe County,2018,45.4,24625,8654,1201
Missouri,Newton County,2018,39.7,26996,58202,7924
Missouri,Pike County,2018,39.1,22302,18489,2256
Missouri,St. Charles County,2018,38.2,37229,389985,21444
Missouri,Cape Girardeau County,2018,36.6,26546,78324,12800
Missouri,Shelby County,2018,41.5,23501,6061,870
Missouri,Webster County,2018,37.1,21682,38082,6207
Missouri,Atchison County,2018,48.3,29009,5270,530
Missouri,Bates County,2018,41.8,27035,16374,1973
Missouri,Benton County,2018,53.3,23984,18989,3584
Missouri,Carter County,2018,41,21884,6197,1057
Missouri,Dade County,2018,46.4,21538,7590,1663
Missouri,Linn County,2018,42.1,24150,12186,1811
Missouri,Howell County,2018,40.6,20873,40102,8738
Missouri,Johnson County,2018,30.1,24146,53689,7536
Missouri,Laclede County,2018,40.4,21577,35507,5241
Missouri,Maries County,2018,45,23729,8884,1430
Missouri,Phelps County,2018,35.2,24304,44789,9293
Missouri,Platte County,2018,38.3,39427,98824,6701
Missouri,St. Francois County,2018,39.6,22575,66342,9656
Missouri,St. Louis city,2018,35.5,28478,311273,73172
Missouri,Andrew County,2018,42.4,28027,17403,1477
Missouri,Butler County,2018,40.1,21286,42733,9093
Texas,Atascosa County,2018,35.4,24421,48828,7271
Texas,Nolan County,2018,38.5,25820,14966,2220
Texas,Hudspeth County,2018,37.6,14190,4098,951
Texas,Ward County,2018,33.2,26570,11586,1494
Texas,Harrison County,2018,37.9,25418,66645,10488
Texas,Menard County,2018,49.1,25067,2123,205
Texas,Fayette County,2018,47,30097,25066,2698
Texas,Williamson County,2018,36.1,35825,527057,35189
Texas,Hutchinson County,2018,37.3,24725,21571,3264
Texas,Morris County,2018,43,23438,12424,1999
Texas,Orange County,2018,37.8,28826,84047,11445
Texas,Winkler County,2018,32.5,24217,7802,1272
Texas,Harris County,2018,33.3,31901,4602523,739100
Texas,Burnet County,2018,44.2,30507,45750,4984
Texas,Gillespie County,2018,50.3,33515,26208,2946
Texas,Dallas County,2018,33.3,31219,2586552,423899
Texas,McMullen County,2018,40.2,32556,662,85
Texas,Young County,2018,41.4,25855,18114,2148
Texas,Johnson County,2018,36.8,27667,163475,16991
Texas,Hopkins County,2018,39.5,26267,36240,6019
Texas,Ochiltree County,2018,31.6,24260,10348,1252
Texas,Knox County,2018,39.5,21796,3733,526
Texas,McLennan County,2018,33.2,24826,248429,45964
Texas,Concho County,2018,41.9,17684,4233,223
Texas,Edwards County,2018,49.3,29814,2055,136
Texas,Eastland County,2018,42.4,23940,18270,3565
Texas,Jeff Davis County,2018,54.8,26053,2234,142
Texas,Jim Hogg County,2018,34.7,17798,5282,1431
Texas,Montgomery County,2018,36.9,39618,554445,54526
Texas,Dimmit County,2018,33.7,18121,10663,3148
Texas,Webb County,2018,28.6,17326,272053,80742
Texas,Armstrong County,2018,46.3,31075,1916,135
Texas,Castro County,2018,35.3,20915,7787,1201
Texas,Kleberg County,2018,28,21986,31425,7727
Texas,Cooke County,2018,40.4,28751,39571,5437
Texas,Crosby County,2018,38.1,19155,5861,1194
Texas,Fisher County,2018,44.4,28355,3883,617
Texas,Duval County,2018,36.1,17864,11355,2751
Texas,Blanco County,2018,49.9,34925,11279,1056
Texas,Jasper County,2018,40.9,25004,35504,5751
Texas,Jefferson County,2018,36,26205,255210,43850
Texas,Kinney County,2018,41.7,20323,3675,640
Texas,Oldham County,2018,29.8,24151,2090,182
Texas,Lamb County,2018,36,21506,13262,3064
Texas,Lipscomb County,2018,34.9,28491,3469,386
Texas,McCulloch County,2018,44.6,24409,8098,1266
Texas,Mason County,2018,46.9,25602,4161,602
Texas,Dickens County,2018,43.9,23452,2216,360
Texas,Lee County,2018,41.5,25876,16952,2335
Texas,Tarrant County,2018,34.3,32092,2019977,258272
Texas,Anderson County,2018,39.1,16868,57863,6565
Texas,Ellis County,2018,36.1,30727,168838,15481
Texas,Jackson County,2018,38.5,26329,14820,2011
Texas,Kerr County,2018,47.7,30498,51365,6601
Texas,Milam County,2018,41.3,24015,24664,3531
Texas,Comanche County,2018,44.8,25127,13495,2147
Texas,Falls County,2018,39.3,17830,17299,3955
Texas,Brooks County,2018,32.7,13800,7180,2573
Texas,Austin County,2018,40.7,30858,29565,3159
Texas,Kenedy County,2018,39.5,15820,595,42
Texas,Colorado County,2018,42.5,27861,21022,2242
Nebraska,Sarpy County,2018,34.4,34928,178351,9521
Nebraska,Boyd County,2018,52.3,27951,2042,213
Nebraska,Fillmore County,2018,47.7,32631,5574,533
Nebraska,Hooker County,2018,55.9,25791,691,112
Nebraska,Seward County,2018,37.9,30694,17127,1176
Nebraska,Webster County,2018,45.2,26970,3571,383
Nebraska,Butler County,2018,43.9,28776,8067,590
Nebraska,Arthur County,2018,47.1,26514,418,43
Nebraska,Gage County,2018,44,28438,21595,2079
Nebraska,Kearney County,2018,40.1,30355,6552,682
Nebraska,Madison County,2018,36.8,27528,35164,5393
Nebraska,Phelps County,2018,42.6,30814,9120,773
Nebraska,Wayne County,2018,31.8,27192,9367,1150
Nebraska,Knox County,2018,46.9,27372,8460,899
Nebraska,Merrick County,2018,43.6,29038,7803,806
Nebraska,Pawnee County,2018,50,26609,2676,412
Nebraska,Wheeler County,2018,49.8,27832,822,76
Nevada,Lander County,2018,37.2,33329,5746,851
Nevada,Esmeralda County,2018,48.3,24713,981,70
Missouri,Carroll County,2018,43.1,24597,8843,1370
Missouri,Daviess County,2018,40.5,24081,8302,1048
Missouri,Holt County,2018,48.4,25517,4456,557
Missouri,Marion County,2018,39.1,23589,28672,5036
Missouri,Osage County,2018,40.3,26037,13619,953
Missouri,Ripley County,2018,42.7,17502,13693,3633
Missouri,Warren County,2018,40.1,27523,33908,4486
Missouri,Washington County,2018,40.7,18915,24931,4767
Missouri,Christian County,2018,37.9,27024,84275,8468
Missouri,DeKalb County,2018,40.2,19524,12564,1232
Missouri,Harrison County,2018,43,20986,8554,1547
Missouri,Lafayette County,2018,42.3,28056,32589,4143
Missouri,Adair County,2018,27.7,22000,25325,5970
Missouri,Scotland County,2018,37.5,23809,4898,753
Missouri,Sullivan County,2018,42.6,21661,6317,1080
Missouri,Clark County,2018,43.9,28537,6800,889
Missouri,Jasper County,2018,36,24086,119238,20315
Missouri,Lewis County,2018,40.3,22602,10027,1440
Missouri,McDonald County,2018,38.3,20270,22827,4387
Missouri,Perry County,2018,40.6,24710,19146,1535
Missouri,Polk County,2018,37.5,22575,31549,4385
Missouri,Ray County,2018,41.8,27768,22825,3344
Montana,Hill County,2018,34.5,23017,16439,3098
Montana,Chouteau County,2018,40.9,22661,5789,1086
Montana,Lincoln County,2018,52.6,24082,19358,3552
Montana,Park County,2018,46.2,32133,16246,2007
Montana,Treasure County,2018,52.1,26348,777,124
Montana,Blaine County,2018,33.8,18155,6727,1961
Montana,Sweet Grass County,2018,51.5,29649,3653,287
Montana,Teton County,2018,44.6,27402,6080,797
Montana,Prairie County,2018,51.8,28087,1342,146
Montana,Glacier County,2018,31.4,17219,13699,4467
Montana,Fallon County,2018,39.3,34329,2838,266
Montana,Golden Valley County,2018,56,27476,724,105
Montana,Silver Bow County,2018,39.8,26224,34814,6464
Montana,Stillwater County,2018,46.6,32061,9410,599
Montana,Jefferson County,2018,47.9,32133,11778,1018
Montana,Granite County,2018,54.3,29074,3269,263
Montana,Wheatland County,2018,40.4,21442,2149,365
Montana,Madison County,2018,52.6,34014,8218,860
Montana,Sheridan County,2018,44.9,33711,3574,386
Montana,Carter County,2018,50.5,32001,1318,173
Montana,Big Horn County,2018,30.8,18560,13376,3454
Montana,Lake County,2018,42.3,24912,29774,6184
Montana,Lewis and Clark County,2018,41,32433,67077,7366
Montana,Pondera County,2018,40.5,24392,6044,1186
Montana,Yellowstone County,2018,38.2,33007,157816,15259
Montana,Missoula County,2018,35.6,30636,115983,16787
Montana,Ravalli County,2018,48.8,27766,41902,5924
Montana,Valley County,2018,44.4,28899,7532,670
Montana,Cascade County,2018,38.2,29212,81746,10178
Montana,Fergus County,2018,46,29237,11273,1534
Montana,Garfield County,2018,43.2,27291,1141,60
Montana,Mineral County,2018,52.6,23744,4211,705
Montana,Petroleum County,2018,52.1,32565,432,35
Montana,Powell County,2018,45.3,25060,6861,666
Montana,Sanders County,2018,53.2,23822,11521,2210
Montana,Wibaux County,2018,46,23137,1175,180
Montana,Gallatin County,2018,33.5,34331,104729,12023
Texas,San Patricio County,2018,35.3,25281,67046,10856
